DateTime,Item_A,Item_B,Frequancy
2017-02-20,Coffee,Medialuna,4
2017-02-23,Coffee,Toast,4
2017-02-24,Alfajores,Coffee,4
2017-02-25,Coffee,Soup,4
2017-02-27,Medialuna,Tea,4
2017-02-28,Coffee,"Hot chocolate",4
2017-02-03,Coffee,Tea,4
2017-04-03,Coffee,Soup,4
2017-04-03,Sandwich,Soup,4
2017-04-03,Coffee,Truffles,4
2017-05-03,Coffee,Toast,4
2017-05-03,Coffee,Scone,4
2017-10-03,Coffee,Juice,4
2017-10-03,Bread,Toast,4
2017-11-03,Coffee,Tea,4
2017-12-03,Coffee,Tea,4
2017-03-18,Coffee,Toast,4
2017-03-18,Bread,Pastry,4
2017-03-19,Cake,Tea,4
2017-03-20,Coffee,Pastry,4
2017-03-21,Cake,Coffee,4
2017-03-21,Coffee,Cookies,4
2017-03-24,Coffee,Cookies,4
2017-03-25,Juice,"Spanish Brunch",4
2017-03-31,Bread,Tea,4
2017-03-31,Coffee,Toast,4
2017-01-04,Coffee,Cookies,4
2017-03-04,Bread,Scone,4
2017-04-04,Coffee,Juice,4
2017-04-04,Coffee,Salad,4
2017-05-04,Coffee,Toast,4
2017-05-04,Pastry,Tea,4
2017-05-04,Coffee,Sandwich,4
2017-09-01,Coffee,Medialuna,4
2017-11-01,Coffee,Medialuna,4
2017-01-13,Alfajores,Pastry,4
2017-01-18,Cookies,Tea,4
2017-01-19,Bread,Coffee,4
2017-01-20,Coffee,Cookies,4
2017-01-21,Coffee,Medialuna,4
2017-01-21,Bread,Cake,4
2017-01-22,Bread,Scone,4
2017-01-23,Cake,Sandwich,4
2017-01-28,Coffee,Muffin,4
2017-01-29,Coffee,Cookies,4
2017-01-31,Sandwich,Tea,4
2017-04-02,Cake,Tea,4
2017-04-02,Alfajores,Coffee,4
2017-06-02,Brownie,Tea,4
